uid,SampleSource,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Region,a1,a2,a3,a3_os,a4,our cat,a5,a6,a7,a7_os,a8,a9,total,less than 2,02-May,05-Oct,Oct-15,15-20,20-50,50+,b1,b2,b3,b3_1,b4,b4_os,b5,b5_1,b5_2,b6,b6_1,b7,b8,b9,b10,b10_1,b10_2,b11,c1,c2,c2_os,c3,c4,c4a,c4b,c4b_os,gender,f1,f2,household challenges,f3_os,household_activities,f4_os,f4a,f4b,f4c,f4d,f4e,f4f,f4g,f4x,f4z,use of digital payments,g1_os,g1check,g2,g3,g4,g4_os,g5,g5_os,SampleSource,Gender,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Wave,selected_business,,ConsolidatedBusinessType
12091,DIC,Services,Technical training services,Education / Training,6,Tirunelvelli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,No,,Yes,15000,Do Not Know,Do Not Know,No,No,,,No,Fully confident,0,,> 6 months,Do not know any,,,,Male,No,50,2,,1 2 5 6 -888,Farming helping work,3,1,,,4,5,,,2,3 5,,,2-3 years,Do Not Know,5,,-888,No problem of cash carry,,,,,,,,,,,,
12092,DIC,Manufacturing,LATHE WORKS,Auto Parts and Metal Works,10,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,No,30,2 3,,1 -888,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12093,DIC,Services,Operating system,Software Services,5,Thiruvallur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,15,0,15,,,,,Y,,,Worse than expected,,,,Enough to survive 1 month,,Yes,No,,No,,No,Partial payment,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,5,,6 -888,,,,,,,2,,,,3,,,> 3 years,Decreased,3 4,,-888,Time save and transaction details visible,,,,,,,,,,,,
12094,DIC,Services,COMPUTER REPAIR/MAINTENANCE 2S,Electricals and Electronics,12,Dindigul,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,30000,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,-888,Business scale-up,0-3 months,Do not know any,,,,Male,Yes,,5,,1 4 6 -888,,2,,,3,,4,,,,5,,,1 to 3 months,Increased,4,,3 4 -888,No Cash handling problem,,,,,,,,,,,,
12097,DIC,Manufacturing,Leasing and rental services,Others,18,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,7,0,7,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,100000,No,Do Not Know,No,No,,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Male,No,50,2,,1 2 6 -888,"Ramzan fasting,prayer and watching tv",3,2,,,,4,,,1,3 5,,,2-3 years,Decreased,-888,Don't know,4 -888,No cash handling problem and easy to access.,,,,,,,,,,,,
12098,DIC,Manufacturing,"ALMIRAH/ CABINETS/ CUPBOARD, WOODEN",Wood Products,5,Nagercoil,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,3,Yes,30000,No,Do Not Know,No,No,,,Yes,Fully confident,4 6,,> 6 months,Do not know any,,,,Male,Yes,,5,,1 2 -888,,3,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
12099,DIC,Services,Computer sales services,Electricals and Electronics,4,Karur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Enough to survive 1 month,,Yes,No,,Yes,30000,No,No,No,No,,,Yes,Fully confident,3,,4-6 months,Do not know any,,,,Male,Yes,,5,,1 2 5 6 -888,Farming work,3,1,,,4,5,,,2,7,,,,,,,,,,,,,,,,,,,,
12101,DIC,Services,Still photography,Photo & Printing,7,Ariyalur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,6 -888,Find work in other sectors,0-3 months,Do not know any,,,,Male,Yes,,5,,1 2 6 -888,Listen music and watching tv,2,3,,,,1,,,4,7,,,,,,,,,,,,,,,,,,,,
12103,DIC,Services,"REPAIR AND MAINTENANCE OF PUMPS, COMPRESSORS, TAPS AND VALVES",Machinery Work,20,Thanjavur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,Do Not Know,Do Not Know,No,No,,,No,Somewhat confident,-888,Business scale-up,0-3 months,Do not know any,,,,Male,Yes,,4,,2 6 -888,Watching tv and farming work,,1,,,,3,,,2,7,,,,,,,,,,,,,,,,,,,,
12104,DIC,Trading,Wholesale  trade 2s,General/Kirana Store,21,Chennai,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Essential,Yes,Fully Shut,,,40,0,40,,,,,,Y,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,3,Yes,,No,Do Not Know,No,No,,,Yes,Somewhat confident,2 6,,4-6 months,Do not know any,,,,,Yes,,2,,1 2 6,,1,2,,,,3,,,,1 3 5,,,> 3 years,Increased,2 3,,1 -888,No cash carring problem,,,,,,,,,,,,
12108,DIC,Manufacturing,"ALMIRAH/ CABINETS/ CUPBOARD, WOODEN",Wood Products,4,Ariyalur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Enough to survive 1 month,,Yes,Yes,2,Yes,1000,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,7,,4-6 months,Do not know any,,,,Male,Yes,,4,,1 2 6 -888,,3,2,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
12109,DIC,Manufacturing,LATHE WORKS,Auto Parts and Metal Works,20,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,No,Partial payment,No,No,,,Yes,Fully confident,0,,> 6 months,Do not know any,,,,Male,Yes,,5,,1 6 -888,,1,,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
12110,DIC,Trading,Wholesale  trade 2s,General/Kirana Store,8,Tiruchirappalli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,No,,No,,No,No,No,No,,,Yes,Fully confident,6,,0-3 months,Do not know any,,,,,Yes,,2 4,,1 2 -888,,1,2,,,,,,,,5,,,1-2 years,Do Not Know,1 4,,4 -888,Quick Transaction,,,,,,,,,,,,
12113,DIC,Manufacturing,STAINLESS STEEL WELDING,Auto Parts and Metal Works,20,Thiruvallur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,Do Not Know,Partial payment,No,No,,,Yes,Fully confident,0,,0-3 months,No,,Requirements not fulfilled,,Male,Yes,,2,,1 6 7 -888,,2,,,,,4,1,,,3,,,> 3 years,Increased,3 4,,4 -888,"Fast delivery, conformation getting quickly",,,,,,,,,,,,
12114,DIC,Manufacturing,FRUIT JUICE,Food Processing,6,Kanchipuram,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,8,0,8,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,No,Do Not Know,No,No,,,Yes,Somewhat confident,0,,Uncertain,Do not know any,,,,,Yes,,2,,1 6,,1,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
12115,DIC,Manufacturing,WAREHOUSING SERVICES,Others,12,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,1,2,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,No,,No,,No,Refuse To Answer,No,No,,,Yes,Not confident,3,,Uncertain,Do not know any,,,,Male,Yes,,2,,1 2 6 -888,Watching tv and playing game,2,1,,,,4,,,3,3 5,,,2-3 years,Increased,-888,,3 -888,Will send exact cash,,,,,,,,,,,,
12118,DIC,Manufacturing,ELECTRIC SWITCHES,Electricals and Electronics,15,Nagercoil,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,20000,No,No,No,No,,,Yes,Fully confident,0,,4-6 months,Do not know any,,,,Male,Yes,,2,,1 2 6 -888,,2,1,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
12119,DIC,Services,COMPUTER REPAIR/MAINTENANCE 2S,Electricals and Electronics,5,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Enough to survive 1 month,,No,,,Yes,50000,No,Do Not Know,No,No,,,Yes,Fully confident,6  3,,4-6 months,Do not know any,,,,Male,Yes,,2,,1 2 6 -888,,2,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
12121,DIC,Services,TESTING LABS-OTHERS,Others,15,Erode,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,9,0,9,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,3,No,,No,Yes full payment,Yes,No,,,Yes,Fully confident,0,,> 6 months,Do not know any,,,,Male,Yes,,4,,1 6 8,,2,,,,,3,,,,5,,,2-3 years,Do Not Know,5,,-888,Cash back offers and no cash handling problem and transaction visible,,,,,,,,,,,,
12122,DIC,Manufacturing,"JEWELLERY / ORNAMENT, GOLD -OTHERS",Jewellery,10,Coimbatore,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,3,Yes,30000,No,Partial payment,No,No,,,Yes,Somewhat confident,3,,4-6 months,Do not know any,,,,Male,Yes,,2,,1 2 6 8 -888,Excercise,1,2,,,,5,,,4,7,,,,,,,,,,,,,,,,,,,,
12123,DIC,Manufacturing,"HOSIERY GOODS, OTHERS - COTTON",Textiles,5,Tiruppur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,40000,No,Partial payment,No,No,,,Yes,Fully confident,3,,0-3 months,No,,Others,Can't go out,Male,Yes,,0,,1 6 8,,2,,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
12124,DIC,Manufacturing,"BURNERS, INDUSTRIAL (2N-ELECTRIC)",Machinery Work,13,Krishnagiri,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,50,0,50,,,,,,,Y,Same as expected,,,,Enough to survive 1 month,,Yes,No,,Yes,1000000,Partial payment,Partial payment,Yes,No,,,Yes,Somewhat confident,0,,> 6 months,No,,Others,Lack of information,Male,Yes,,2,,2 6 7 8,,,3,,,,1,2,,,3,,,> 3 years,Decreased,5,,-888,"No Cash handling,easy transaction and transaction visible",,,,,,,,,,,,
12125,DIC,Services,EMBROIDERY WORK (BY MECH PRO ),Tailoring,15,Madurai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,20000,No,No,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,0,,1 2 6 8,,3,2,,,,4,,,,5,,,3-6 months,Increased,5,,5,,,,,,,,,,,,,
12126,DIC,Trading,Retail trade services- others,General/Kirana Store,15,Thanjavur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Essential,Yes,Fully Operational,1 3,,2,0,2,,Y,,,,,,Same as expected,30,Remained the same,,Enough to survive 3 months or more,,No,,,No,,Yes full payment,Yes full payment,No,No,,,Yes,Fully confident,-888,Business scale-up,0-3 months,Do not know any,,,,,Yes,,0,,6 -888,Farming work,,,,,,2,,,1,7,,,,,,,,,,,,,,,,,,,,
12128,DIC,Services,CIVIL ENGINEERING SERVICES,Construction,15,Thiruvallur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,40000,No,Do Not Know,No,No,,,No,Fully confident,0,,0-3 months,Do not know any,,,,Male,Yes,,2,,6 7 -888,Kalyana mandapam incharge work,,,,,,3,2,,1,5,,,1-2 years,Increased,2 3 4,,1 -888,No Transaction charges,,,,,,,,,,,,
12129,DIC,Services,SOFTWARE CONSULTANCY,Software Services,3,Virudhunagar,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Better than expected,,,,Enough to survive 1 month,,No,,,No,,Yes full payment,Yes full payment,"Yes, but with delay",No,,,No Loan,Fully confident,3,,0-3 months,No,,Others,Not required at the moment,Male,No,50,0,,1 4 5 6 8,,2,,,3,1,5,,,,3 5,,,2-3 years,Increased,3 4,,5,,,,,,,,,,,,,
12131,DIC,Manufacturing,"Thread, sewing / stitching, cotton",Textiles,5,Tiruppur,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,20,0,20,,,,,,Y,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,50000,No,Partial payment,No,No,,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Male,Yes,,0,,1 2 6 7 8,,3,1,,,,5,2,,,7,,,,,,,,,,,,,,,,,,,,
12132,DIC,Manufacturing,FLOUR MILLING,Food Processing,10,Tiruchirappalli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1,Yes,25000,No,Yes full payment,No,No,,,Yes,Somewhat confident,4,,> 6 months,Do not know any,,,,,Yes,,2,,1 2 6 8,,2,1,,,,4,,,,3,,,> 3 years,Increased,5,,6,,,,,,,,,,,,,
12133,DIC,Manufacturing,"JEWELLERY / ORNAMENT, GOLD -OTHERS",Jewellery,16,Coimbatore,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,No,No,No,No,,,Yes,Fully confident,3,,4-6 months,Do not know any,,,,Male,Yes,,2 4,,1 2 5 6 7 8,,3,1,,,5,6,4,,,5,,,3-6 months,Increased,3 -888,,-888,Time save and getting transaction details,,,,,,,,,,,,
12134,DIC,Trading,Wholesale  trade 2s,General/Kirana Store,30,Krishnagiri,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Essential,Yes,Partly Operational,1 3 5,,4,0,4,,Y,,,,,,Worse than expected,50,Decreased,40,Don't have any cash reserves,,No,,,No,,Yes full payment,Yes full payment,No,No,,,Yes,Fully confident,0,,0-3 months,No,,Others,Plan to apply in future,,Yes,,0,,1 2 6 8,,2,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
12137,DIC,Manufacturing,PVC PIPES INCLUSIVE CONDUITS - UPTO 110 mm DIA,Paper & Plastic Products,10,Ariyalur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,15,0,15,,,,,Y,,,Same as expected,,,,Enough to survive 2 months,,No,,,Yes,400000,Yes full payment,Yes full payment,No,No,,,Yes,Somewhat confident,6  7,,4-6 months,Do not know any,,,,Male,No,50,0,,2 6 8 -888,Chat with friends,,3,,,,4,,,2,7,,,,,,,,,,,,,,,,,,,,
12138,DIC,Manufacturing,"JEWELLERY / ORNAMENT, GOLD -OTHERS",Jewellery,14,Coimbatore,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,7,,4-6 months,Do not know any,,,,Male,No,50,0,,1 2 6 8,,2,1,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
12140,DIC,Services,MARKETING CONSULTANCY,Consultancy,6,Pudukkottai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Enough to survive 3 months or more,,No,,,Yes,17000,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,1,,> 6 months,Do not know any,,,,Male,Yes,,2 4,,1 2 6 -888,Prayer and reading books,3,1,,,,4,,,2,7,,,,,,,,,,,,,,,,,,,,
12142,DIC,Services,MULTIMEDIA SERVICE INCL. COMPUTER ANIMATION,Software Services,5,Madurai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,Do Not Know,Do Not Know,No,No,,,Yes,Somewhat confident,7,,> 6 months,Do not know any,,,,Male,Yes,,2 3,,1 6 7 8,,1,,,,,4,2,,,7,,,,,,,,,,,,,,,,,,,,
12143,DIC,Services,ADVERTISING AGENCIES,Consultancy,8,Thanjavur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,35000,No,Partial payment,"Yes, but with delay",No,,,No Loan,Fully confident,0,,> 6 months,No,,Others,Not required at the moment,Male,Yes,,2,,1 6 8,,1,,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
12146,DIC,Manufacturing,"JEWELLERY / ORNAMENT, GOLD -OTHERS",Jewellery,4,Coimbatore,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Enough to survive 1 month,,Yes,Yes,3,No,,Do Not Know,Do Not Know,No,Yes,0,1,Yes,Fully confident,6 -888,Find work in other sectors,0-3 months,Do not know any,,,,Male,Yes,,0,,1 4 6 -888,Reading books and meditation,1,,,2,,4,,,3,5,,,1-2 years,Decreased,5,,-888,Degital payment use all transaction visible and nobody can not hide black money,,,,,,,,,,,,
12147,DIC,Manufacturing,JWELLARY,Jewellery,26,Tiruchirappalli,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,10,14,,,,Y,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,Partial payment,Partial payment,No,No,,,Yes,Fully confident,7,,4-6 months,Do not know any,,,,Male,Yes,,0,,1 2 5 8 -888,Book Binding work,1,2,,,4,,,,3,7,,,,,,,,,,,,,,,,,,,,
12150,DIC,Services,"CHADDAR, COTTON GREY",Textiles,20,Erode,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,30,0,30,,,,,,Y,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,200000,No,Do Not Know,No,No,,,Yes,Fully confident,0,,> 6 months,No,,Others,Plan to apply in future,Male,Yes,,2,,2 6 8 -888,Reading books and playing tennis game,,2,,,,4,,,1,5,,,1-2 years,Increased,3 -888,,-888,Time saving and easy transfer,,,,,,,,,,,,
12152,DIC,Services,Restaurant 2,Others,25,Krishnagiri,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,No,Do Not Know,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,2,,1 6 8 -888,Excercise and walking,1,,,,,4,,,2,7,,,,,,,,,,,,,,,,,,,,
12155,DIC,Services,CIVIL ENGINEERING 2S,Construction,9,Dindigul,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,20,4,24,,,,,,Y,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,Yes,10000,No,Do Not Know,No,No,,,Yes,Fully confident,0,,0-3 months,Do not know any,,,,Male,Yes,,0,,1 2 6 7 -888,Fasting Prayer and garden maintained,2,4,,,,5,3,,1,3 5,,,1-2 years,Decreased,4,,6,,,,,,,,,,,,,
12156,DIC,Services,DESK TOP PUBLISHING,Software Services,20,Tirunelvelli,Tamil Nadu,South India,Yes,Male,Home based business,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,Do Not Know,Do Not Know,"Yes, but with delay",No,,,Yes,Fully confident,4,,0-3 months,Do not know any,,,,Male,Yes,,3,,1 2 4 6 -888,Meditation and prayer,1,3,,2,,5,,,4,3 5,,,2-3 years,Increased,-888,Vedeographer hired charge,-888,Get transaction history and immediately cash transfer,,,,,,,,,,,,
12158,DIC,Services,Decorating 2s- all types,Others,25,Tiruchirappalli,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,5,15,20,,,,,,Y,,Worse than expected,,,,Enough to survive 1 month,,Yes,No,,Yes,600000,Do Not Know,Do Not Know,No,No,,,Yes,Not confident,0,,> 6 months,No,,Banks/MFI/NBFC not lending,,Male,Yes,,3,,6 8,,,,,,,2,,,,3,,,> 3 years,Decreased,3 4,,5,,,,,,,,,,,,,
12159,DIC,Trading,Wholesale  trade 2s,General/Kirana Store,15,Chennai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Enough to survive 1 month,,No,,,Yes,60000,No,Do Not Know,No,No,,,Yes,Fully confident,3,,4-6 months,Do not know any,,,,,Yes,,2 4,,1 2 5 6 8 -888,Reading booking and walking,5,1,,,2,6,,,4,2 3 5,,,6-12 months,Increased,3 4 -888,Vegetables and non veg.foods and snacks payment,-888,Transaction visible and safe and sure,,,,,,,,,,,,
12161,DIC,Services,Restaurant 2,Others,30,Dindigul,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Partly Operational,1 2 3 4,,12,0,12,,,,Y,,,,Same as expected,15,Decreased,100,Don't have any cash reserves,,Yes,Yes,3,No,,No,No,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,1 2 3,,6 8,,,,,,,2,,,,5,,,1-2 years,Remained the same,5,,5,,,,,,,,,,,,,
12162,DIC,Manufacturing,LATHE WORKS,Auto Parts and Metal Works,10,Nagercoil,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,1,Yes,10000,No,Do Not Know,No,No,,,Yes,Fully confident,0,,> 6 months,Do not know any,,,,Male,Yes,,2 3,,1 2 6 7 8,,1,2,,,,5,3,,,7,,,,,,,,,,,,,,,,,,,,
12165,DIC,Trading,Wholesale  trade services,General/Kirana Store,40,Madurai,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Essential,Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,No,Partial payment,No,No,,,No Loan,Fully confident,4 6,,0-3 months,Do not know any,,,,,Yes,,0,,2 6 8 -888,Vegetables sales through tricycle,,2,,,,4,,,1,7,,,,,,,,,,,,,,,,,,,,
12167,DIC,Trading,Retail trade services- others,General/Kirana Store,15,Kanchipuram,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,10,0,10,,,,Y,,,,Same as expected,,,,Enough to survive 1 month,,No,,,Yes,100000,No,Do Not Know,No,No,,,Yes,Fully confident,0,,4-6 months,Yes,Mudra loan scheme,,,,No,50,0,,1 2 6,,2,1,,,,3,,,,1 3 5,,,> 3 years,Increased,5,,-888,Cash safety and no cash transaction,,,,,,,,,,,,
12168,DIC,Manufacturing,"FABRICS, COTTON",Tailoring,8,Tiruppur,Tamil Nadu,South India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,15,5,20,,,,,,Y,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,Partial payment,Partial payment,"Yes, but with delay",No,,,Yes,Fully confident,-888,Working time will increase,0-3 months,Do not know any,,,,Male,Yes,,1 2 3,,2 6 8,,,2,,,,3,,,,3 5,,,2-3 years,Increased,3  -888,,-888,Cash transaction immediately done,,,,,,,,,,,,
12169,DIC,Manufacturing,PAPER CUPS,Paper & Plastic Products,5,Thiruvallur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,3,No,,No,Do Not Know,No,No,,,Yes,Somewhat confident,0,,4-6 months,Do not know any,,,,Male,Yes,,3,,1 2 6 8,,3,2,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,
12170,DIC,Services,TRANSPORT HIRING SERVICES,Transport Service,15,Thanjavur,Tamil Nadu,South India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,15000,Do Not Know,Do Not Know,No,No,,,Yes,Fully confident,4,,> 6 months,Do not know any,,,,Male,Yes,,0,,1 2 6 8,,3,2,,,,4,,,,3 5,,,> 3 years,Increased,-888,,5,,,,,,,,,,,,,
